Species,Body mass,Diet,Gut type,Herd size,Water dependence,HFT
Ammodorcas clarkei,27.2,BRW,Ruminant,Family,None,"Small, non-social, water independent browser/frugivores"
Cephalophus adersi,9.1,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus callipygus,20.4,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus dorsalis,20.6,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus harveyi,11.5,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus jentinki,70.3,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus leucogaster,17.3,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus natalensis,11.9,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus niger,21,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus nigrifrons,14.2,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus ogilbyi,19,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus rufilatus,10.2,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus silvicultor,62.7,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus spadix,57.1,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus weynsi,16.5,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Cephalophus zebra,16.9,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Dorcatragus megalotis,10.5,BRW,Ruminant,Family,None,"Small, non-social, water independent browser/frugivores"
Hyemoschus aquaticus,11.1,GEN,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Litocranius walleri,39.1,BRW,Ruminant,Family,None,"Small, non-social, water independent browser/frugivores"
Madoqua guentheri,4.1,BRW,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Madoqua kirkii,5.6,BRW,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Madoqua piacentinii,2.1,BRW,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Madoqua saltiana,2.8,BRW,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Neotragus batesi,2.5,BRW,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Neotragus pygmaeus,2.3,BRW,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Nesotragus moschatus,5.7,BRW,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Oreotragus oreotragus,11.5,GEN,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Pelea capreolus,22,BRW,Ruminant,Family,None,"Small, non-social, water independent browser/frugivores"
Philantomba maxwellii,7.8,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Philantomba monticola,4.8,FRG,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Raphicerus campestris,11.2,BGI,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Raphicerus melanotis,10.3,GEN,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Raphicerus sharpei,8.7,BGI,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Sylvicapra grimmia,16.9,BRW,Ruminant,Solitary/pairs,None,"Small, non-social, water independent browser/frugivores"
Tragelaphus scriptus,42.3,BRW,Ruminant,Solitary/pairs,Low,"Small, non-social, water independent browser/frugivores"
Ammotragus lervia,69.1,BGI,Ruminant,Family,Low,"Small-medium, social, non-water reliant mixed feeders"
Antidorcas marsupialis,35.3,BGI,Ruminant,Mega-groups,Low,"Small-medium, social, non-water reliant mixed feeders"
Beatragus hunteri,93.8,GRV,Ruminant,Gregarious,Low,"Small-medium, social, non-water reliant mixed feeders"
Damaliscus lunatus,126.7,GRO,Ruminant,Mega-groups,Low,"Small-medium, social, non-water reliant mixed feeders"
Eudorcas albonotata,19,GRV,Ruminant,Gregarious,None,"Small-medium, social, non-water reliant mixed feeders"
Eudorcas rufifrons,26.1,BGI,Ruminant,Family,Low,"Small-medium, social, non-water reliant mixed feeders"
Eudorcas thomsonii,19,GRV,Ruminant,Mega-groups,Low,"Small-medium, social, non-water reliant mixed feeders"
Gazella dorcas,16.5,GEN,Ruminant,Gregarious,None,"Small-medium, social, non-water reliant mixed feeders"
Gazella spekei,19.7,BGI,Ruminant,Family,None,"Small-medium, social, non-water reliant mixed feeders"
Nanger dama,57.5,BGI,Ruminant,Gregarious,Low,"Small-medium, social, non-water reliant mixed feeders"
Nanger granti,57.4,GRV,Ruminant,Gregarious,None,"Small-medium, social, non-water reliant mixed feeders"
Nanger soemmerringii,41,BGI,Ruminant,Gregarious,Low,"Small-medium, social, non-water reliant mixed feeders"
Oryx beisa,168.6,GRV,Ruminant,Gregarious,Low,"Small-medium, social, non-water reliant mixed feeders"
Oryx gazella,203.7,GRV,Ruminant,Gregarious,None,"Small-medium, social, non-water reliant mixed feeders"
Ourebia ourebi,15.2,GRV,Ruminant,Family,None,"Small-medium, social, non-water reliant mixed feeders"
Redunca redunca,46.9,GRO,Ruminant,Family,Low,"Small-medium, social, non-water reliant mixed feeders"
Tragelaphus imberbis,86.3,BGI,Ruminant,Family,None,"Small-medium, social, non-water reliant mixed feeders"
Tragelaphus oryx,511.2,BGI,Ruminant,Gregarious,None,"Small-medium, social, non-water reliant mixed feeders"
Capra walie,101.3,BRW,Ruminant,Gregarious,High,"Large, social, water dependent browsers"
Giraffa camelopardalis,1117.5,BRW,Ruminant,Gregarious,Low,"Large, social, water dependent browsers"
Okapia johnstoni,235.2,BRW,Ruminant,Solitary/pairs,Low,"Large, social, water dependent browsers"
Tragelaphus angasii,85.7,GEN,Ruminant,Family,Low,"Large, social, water dependent browsers"
Tragelaphus buxtoni,206.4,BRW,Ruminant,Family,Low,"Large, social, water dependent browsers"
Tragelaphus derbianus,598.2,BRW,Ruminant,Gregarious,Low,"Large, social, water dependent browsers"
Tragelaphus eurycerus,285.7,BRW,Ruminant,Gregarious,High,"Large, social, water dependent browsers"
Tragelaphus strepsiceros,202.3,GEN,Ruminant,Family,Low,"Large, social, water dependent browsers"
Aepyceros melampus,49.1,BGI,Ruminant,Gregarious,High,"Medium-large, social, water dependent grazers"
Alcephalus buselaphus,150.3,GRV,Ruminant,Gregarious,High,"Medium-large, social, water dependent grazers"
Capra nubiana,48.9,BGI,Ruminant,Gregarious,High,"Medium-large, social, water dependent grazers"
Connochaetes gnou,142.7,GRV,Ruminant,Gregarious,High,"Medium-large, social, water dependent grazers"
Connochaetes taurinus,220.1,GRV,Ruminant,Mega-groups,High,"Medium-large, social, water dependent grazers"
Damaliscus pygargus,68.4,GRV,Ruminant,Gregarious,High,"Medium-large, social, water dependent grazers"
Hippotragus equinus,264,GRV,Ruminant,Family,High,"Medium-large, social, water dependent grazers"
Hippotragus niger,210.5,GRV,Ruminant,Family,High,"Medium-large, social, water dependent grazers"
Kobus ellipsiprymnus,211.8,GRV,Ruminant,Family,High,"Medium-large, social, water dependent grazers"
Kobus kob,73.1,GRO,Ruminant,Gregarious,High,"Medium-large, social, water dependent grazers"
Kobus leche,89.2,GRO,Ruminant,Mega-groups,High,"Medium-large, social, water dependent grazers"
Kobus megaceros,90,GRO,Ruminant,Mega-groups,High,"Medium-large, social, water dependent grazers"
Kobus vardonii,70.1,GRO,Ruminant,Family,High,"Medium-large, social, water dependent grazers"
Redunca arundinum,53.5,GRO,Ruminant,Solitary/pairs,High,"Medium-large, social, water dependent grazers"
Redunca fulvorufula,29.1,GRO,Ruminant,Family,High,"Medium-large, social, water dependent grazers"
Syncerus caffer,486.3,GRV,Ruminant,Mega-groups,High,"Medium-large, social, water dependent grazers"
Tragelaphus spekii,76.5,GRV,Ruminant,Family,High,"Medium-large, social, water dependent grazers"
Ceratotherium simum,2195.8,GRO,Non-ruminant,Family,High,"Large, water dependent, non-ruminants"
Choeropsis liberiensis,225.3,GEN,Non-ruminant,Solitary/pairs,High,"Large, water dependent, non-ruminants"
Diceros bicornis,999.9,BRW,Non-ruminant,Solitary/pairs,High,"Large, water dependent, non-ruminants"
Equus africanus,256.7,GRV,Non-ruminant,Family,Low,"Large, water dependent, non-ruminants"
Equus grevyi,400.2,GRV,Non-ruminant,Family,Low,"Large, water dependent, non-ruminants"
Equus quagga,280.4,GRO,Non-ruminant,Family,High,"Large, water dependent, non-ruminants"
Equus zebra,278.5,GRV,Non-ruminant,Family,High,"Large, water dependent, non-ruminants"
Hippopotamus amphibius,1866.9,GRV,Non-ruminant,Gregarious,High,"Large, water dependent, non-ruminants"
Hylochoerus meinertzhageni,157.7,BGI,Non-ruminant,Family,High,"Large, water dependent, non-ruminants"
Loxodonta africana,4101.8,BGI,Non-ruminant,Gregarious,High,"Large, water dependent, non-ruminants"
Phacochoerus aethiopicus,70,GRV,Non-ruminant,Family,Low,"Large, water dependent, non-ruminants"
Phacochoerus africanus,75.9,GRO,Non-ruminant,Family,High,"Large, water dependent, non-ruminants"
Potamochoerus larvatus,76.6,GEN,Non-ruminant,Family,Low,"Large, water dependent, non-ruminants"
Potamochoerus porcus,66.6,GEN,Non-ruminant,Family,Low,"Large, water dependent, non-ruminants"
