common_name,Order,Family,Genus,Species,astragalus,calcaneum_B,calcaneum_length_A,femur_distal_A,femur_distal_B,femur_length,femur_promixal_B,femur_proximal_A,fore_p1_iii,fore_p2_iii,fore_p3_iii,hind_p1_iii,hind_p2_iii,hind_p3_iii,humerus_distal_A,humerus_distal_B,humerus_length_C,humerus_promixal_B,humerus_proximal_A,mass_max_kg,mass_min_kg,metacarpal_A,metacarpal_B,metatarsal_C,metatarsal_D,metacarpal_overall,metatarsal_overall,patella_length,pelvis_A,pelvis_B,pelvis_C,pelvis_D,RU_length_T,RU_distal_A_T,RU_proximal_A,scapula_A,scapula_B,scapula_C,scapula_D,tibia_distal_A,tibia_distal_B,tibia_length (c),tibia_proximal_A,tibia_proximal_B,ulna_length (c) ,ulna_proximal_A,ulna_proximal_B,vertebrae_atlas_female_A ( or no sex),vertebrae_atlas_female_B ( or no sex),vertebrae_atlas_female_C ( or no sex),vertebrae_axis_female_A (or no sex) ,vertebrae_axis_female_B (or no sex) ,vertebrae_c3_female_A,vertebrae_c3_female_B,vertebrae_c3_female_C,vertebrae_c7_female_A,vertebrae_c7_female_B,vertebrae_c7_female_C,Fruit,Root,Leaf,Woody,Herbaceous
ELEPHANT                                        ,Proboscidea,Elephantidae,Loxodonta,africana,109,,190,168,100,1000,126,270,80,40,,70,32,,117,90.5,835,114,178,6500,3500,,,,,,,146,142,320,790,850,680,134,94.5,210,116,187,710,127,79,625,157,54,765,85,176,293,193,165,132,220,46.5,206,141.5,44,300,145,1,1,1,1,1
HIPPO,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,77,126,186,162,107,521,82,186,59,35,24,60,37,30,111,60.5,492,96,144,2633,1135,,,,,,,90,83,350,345,750,,108,,86.5,68.5,81,403,85,57.5,333,135.5,56,,,,285,153,140,125,150,55,187,137,51.5,128,217,0,0,1,0,1
GIRAFFE,Artiodactyla,Giraffidae,Giraffa,camelopardalis,77,143,205,147,114,516,53,185,132,56,113,117,53,97,122,54.5,490,125,157,1180,1180,89.5,49.5,80,39.5,633,640,97,99,208,345,515,687,107,111,99,87.5,94,648,109,71.5,642,161.5,71,325,48.5,65,118,92,155,254,125,246,62.5,75,235,100,183,0,0,1,1,0
COLOBUS,Primates,Haplorhini,Colobus,guereza,25.5,,36.5,31.5,16.5,201,14,34,,,,,,,23.5,10,148,148,20.5,15,12,,,,,,,,24,47,49.5,154,136,13.5,12.5,22,11.5,17.5,79.5,22,16,186,32,22.5,153,10.5,14.5,,,,,,,,,,,,1,0,1,0,0
VERVET,Primates,Cercopithecidae,Chlorocebus,pygerythrus,16,,26.5,19.5,9.5,143,8.5,23.5,,,,,,,14.5,7.5,121,13,13.5,8,4.5,,,,,,,,16.5,32,27,100.5,119,13.5,9.5,15.5,10.5,14.5,69.5,13,9.5,135,19.5,13,133,8.5,12.5,,,,,,,,,,,,1,0,0,0,0
GREVY ZEBRA,Perissodactyla,Equidae,Equus,grevyi,37.5,91.5,112,97,68,385,56.5,118,,,,,,,77,37,275,68,89.5,431,354,54,45,53,45,229,265,,68,163,278,400,329,61,75,65,50,56.5,343,70.5,40.5,343,98,35,155,31.5,43,,,,,,,,,,,,0,0,1,0,1
BURCHELL ZEBRA,Perissodactyla,Equidae,Equus,quagga,33,81,101,80,58,335,47.5,99.5,65,35,47,70,33,50,72.5,33.5,249,64,83.5,317,227,42.5,47.5,48.5,43,209,234,,63.5,135.5,225,355,293,58.5,75,59.5,45,53.5,288,62.5,36.5,294,83.5,31,145,33,45.5,149,82.5,92,142,106,110,116,72.5,64,90,105,0,0,1,2,1
DONKEY,Perissodactyla,Equidae,Equus,africanus,27.5,65.5,79.5,71.5,51.5,283,37,84.5,,,,,,,57,28.5,213,50,64.5,480,80,30.5,36,37.5,35,167,204,,49,124.5,183,305,258,45.5,55.5,47,36.5,43,243,54,31,276,71.5,28.5,110,25,36,,,,,,,,,,,,0,0,1,1,1
WHITE RHINO,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,67,,132,151,100,526,101,221,,,,,,,104,54,465,108,172,2000,1500,,,,,,,,,217,490,,410,58.5,112,130,97.5,94.5,492,92.5,81,395,131,86,504,91.5,107,,,,,,,,,,,,0,0,1,0,1
BLACK RHINO,Perissodactyla,Rhinocerotidae,Diceros,bicornis,63,,117,143,90,460,89,202,33,24,25.5,33,26,24,91.5,42,375,87.5,140,1100,900,,,,,,,110,,203.5,410,,380,58.5,106.5,123.5,89,95.5,483,82.5,76.5,351,120,72,485,88,93.5,293,160,119,126,162,83,170,105,78,125,300,0,0,1,1,0
